original,entities
"Prov.: acquisto da Ferdinando Casini, 1918; appartenne allo storico e dantista Tommaso Casini.","{'persons': [{'last_name': 'Casini', 'first_name': 'Ferdinando', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Casini', 'first_name': 'Tommaso', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"acquisto dall'arch. Ferdinando Forlai, 1983.","{'persons': [{'last_name': 'Forlai', 'first_name': 'Ferdinando', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"il ms. non reca numero di registro d'ingresso; a c. 1 n.n.v e ac. Ir vi è il timbro ottocentesco «G.N. Pepoli» riferentesi a Gioacchino Napoleone Pepoli (1825-1881). Al v del foglio di guardia anteriore vi è una indicazione del prezzo di vendita (£ 150), il che fa supporre che il ms. sia stato acquistato dalla Biblioteca, forse nel tardo Ottocento.","{'persons': [{'last_name': 'Pepoli', 'first_name': 'Gioacchino', 'occupations': [], 'birth': None, 'death': None}], 'organisations': [{'name': 'ms', 'place': None}]}"
"Acq. dall'avv. Raimondo Ambrosini, il 13 giugno 1908.","{'persons': [{'last_name': 'Ambrosini', 'first_name': 'Raimondo', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Palestrina, Giovanni Pierluigi : da","{'persons': [{'last_name': '', 'first_name': 'Palestrina', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Pierluigi', 'first_name': 'Giovanni', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Gonzaga, Ferdinando <duca di Mantova>","{'persons': [{'last_name': '', 'first_name': 'Gonzaga', 'occupations': [], 'birth': None, 'death': None}, {'last_name': '', 'first_name': 'Ferdinando', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
SIXTUS IV PAPA,"{'persons': [], 'organisations': []}"
"Chierici, Gaetano <1838-1920> <paletnologo>","{'persons': [{'last_name': '', 'first_name': 'Chierici', 'occupations': [], 'birth': None, 'death': None}, {'last_name': '', 'first_name': 'Gaetano', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Abati Olivieri Giordani, Annibale : degli <padre>","{'persons': [{'last_name': 'Giordani', 'first_name': 'Abati', 'occupations': [], 'birth': None, 'death': None}, {'last_name': '', 'first_name': 'Annibale', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Giovan Battista Doni, Gabriello Riccardi, Girolamo da Prato, B.M. Peebles","{'persons': [{'last_name': 'Doni', 'first_name': 'Giovan', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Riccardi', 'first_name': 'Gabriello', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Prato', 'first_name': 'Girolamo', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Peebles', 'first_name': 'B.M.', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Chierici, Gaetano <paletnologo ; eredi> : Dono : 1888 ca.","{'persons': [{'last_name': '', 'first_name': 'Chierici', 'occupations': [], 'birth': None, 'death': None}, {'last_name': '', 'first_name': 'Gaetano', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
Libreria musicale Gallini <Milano> : Acquisto : 1998/09,"{'persons': [], 'organisations': []}"
"Venturi, Giovanni Battista <1746-1822 ; eredi> : Acquisto : 1921/05","{'persons': [{'last_name': '', 'first_name': 'Venturi', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Battista', 'first_name': 'Giovanni', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
Libreria antiquaria Gutenberg <Cassano d'Adda> : Acquisto : 2007/03,"{'persons': [], 'organisations': []}"
"Ghidoni Balletti, Maria : Dono : 1957/06","{'persons': [{'last_name': 'Balletti', 'first_name': 'Ghidoni', 'occupations': [], 'birth': None, 'death': None}, {'last_name': ':', 'first_name': 'Maria', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Chierici, Gaetano <1819-1886 ; eredi> : Dono : 1888 ca.","{'persons': [{'last_name': '', 'first_name': 'Chierici', 'occupations': [], 'birth': None, 'death': None}, {'last_name': '', 'first_name': 'Gaetano', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
