original,entities
"Dono del cav. Giuseppe Ballarini (già presidente della Società stessa), 1896","{'persons': [{'last_name': 'Ballarini', 'first_name': 'Giuseppe', 'occupations': ['cavaliere', 'presidente'], 'birth': None, 'death': None}], 'organisations': [{'name': 'Società', 'place': None}]}"
Fondo antico (nell'interno del piatto anteriore una nota: « Dono di Mons. D. Pio dalla Casa »). Segn. antica 17. Mss. Sezione ecclesiast. Cart. H 14. Nº. 1.,"{'persons': [{'last_name': 'dalla Casa', 'first_name': 'Pio', 'occupations': ['Monsignore'], 'birth': None, 'death': None}], 'organisations': []}"
"Il ms. reca all'interno del piatto posteriore la seguente nota: «1846 li 4 giugno. Comprato il presente tacuino del cav. Marcantonio Franceschini famoso pittore dal sig. Tognetti segretario giubilato»; poiché questa nota non è autografa di Francesco Tognetti, si deve intendere nel senso che il Tognetti fu il venditore del ms. all'acquirente non identificato che vergò l'appunto. Nel 1930 il ms. fu trovato in vendita alla libreria antiquaria Zanichelli di Bologna da Guido Zucchini che lo segnalò ad Albano Sorbelli il quale lo acquistò per la Biblioteca dell'Archiginnasio.","{'persons': [{'last_name': 'Franceschini', 'first_name': 'Marcantonio', 'occupations': ['painter'], 'birth': None, 'death': None}, {'last_name': 'Tognetti', 'first_name': 'Francesco', 'occupations': ['secretary (retired)'], 'birth': None, 'death': None}, {'last_name': 'Zucchini', 'first_name': 'Guido', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Sorbelli', 'first_name': 'Albano', 'occupations': [], 'birth': None, 'death': None}], 'organisations': [{'name': 'libreria antiquaria Zanichelli', 'place': 'Bologna'}, {'name': ""Biblioteca dell'Archiginnasio"", 'place': None}]}"
"Prov. Acq. dalla Libr. Ant. Martelli di Bologna, il 1.o luglio 1905, per £. 5.","{'persons': [], 'organisations': [{'name': 'Libr. Ant. Martelli', 'place': 'Bologna'}]}"
"Prov. Dono del cav. Tito Manetti, 1907 (nell'interno del piatto anteriore è la nota: 1882. Decembre. Comprato da Ravagnoli, che mi disse averlo avuto nella compera che fece della libreria del defunto Don Pietro Lozzani »).","{'persons': [{'last_name': 'Manetti', 'first_name': 'Tito', 'occupations': ['cavaliere'], 'birth': None, 'death': None}, {'last_name': 'Ravagnoli', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Lozzani', 'first_name': 'Pietro', 'occupations': ['Don'], 'birth': None, 'death': None}], 'organisations': []}"
"Prov. fondo antico, probabilmente dal convento di S. Domenico.","{'persons': [], 'organisations': [{'name': 'convento di S. Domenico', 'place': None}]}"
"Prov.: acquisto da Ferdinando Casini, 1918; appartenne allo storico e dantista Tommaso Casini.","{'persons': [{'last_name': 'Casini', 'first_name': 'Ferdinando', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Casini', 'first_name': 'Tommaso', 'occupations': ['storico', 'dantista'], 'birth': None, 'death': None}], 'organisations': []}"
"acquisto dall'arch. Ferdinando Forlai, 1983.","{'persons': [{'last_name': 'Forlai', 'first_name': 'Ferdinando', 'occupations': ['architetto'], 'birth': None, 'death': None}], 'organisations': []}"
"il ms. non reca numero di registro d'ingresso; a c. 1 n.n.v e ac. Ir vi è il timbro ottocentesco «G.N. Pepoli» riferentesi a Gioacchino Napoleone Pepoli (1825-1881). Al v del foglio di guardia anteriore vi è una indicazione del prezzo di vendita (£ 150), il che fa supporre che il ms. sia stato acquistato dalla Biblioteca, forse nel tardo Ottocento.","{'persons': [{'last_name': 'Pepoli', 'first_name': 'Gioacchino Napoleone', 'occupations': [], 'birth': '1825', 'death': '1881'}], 'organisations': [{'name': 'G.N. Pepoli', 'place': None}, {'name': 'Biblioteca', 'place': None}]}"
"Acq. dall'avv. Raimondo Ambrosini, il 13 giugno 1908.","{'persons': [{'last_name': 'Ambrosini', 'first_name': 'Raimondo', 'occupations': ['avvocato'], 'birth': None, 'death': None}], 'organisations': []}"
"Palestrina, Giovanni Pierluigi : da","{'persons': [{'last_name': 'Palestrina', 'first_name': 'Giovanni Pierluigi', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Gonzaga, Ferdinando <duca di Mantova>","{'persons': [{'last_name': 'Gonzaga', 'first_name': 'Ferdinando', 'occupations': ['duke of Mantua'], 'birth': None, 'death': None}], 'organisations': []}"
SIXTUS IV PAPA,"{'persons': [{'last_name': 'Sixtus', 'first_name': 'IV', 'occupations': ['Pope'], 'birth': None, 'death': None}], 'organisations': []}"
"Chierici, Gaetano <1838-1920> <paletnologo>","{'persons': [{'last_name': 'Chierici', 'first_name': 'Gaetano', 'occupations': ['paletnologo'], 'birth': '1838', 'death': '1920'}], 'organisations': []}"
"Abati Olivieri Giordani, Annibale : degli <padre>","{'persons': [{'last_name': 'Olivieri Giordani', 'first_name': 'Annibale', 'occupations': ['abate', 'padre'], 'birth': None, 'death': None}], 'organisations': []}"
"Giovan Battista Doni, Gabriello Riccardi, Girolamo da Prato, B.M. Peebles","{'persons': [{'last_name': 'Doni', 'first_name': 'Giovan Battista', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Riccardi', 'first_name': 'Gabriello', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'da Prato', 'first_name': 'Girolamo', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Peebles', 'first_name': 'B.M.', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Chierici, Gaetano <paletnologo ; eredi> : Dono : 1888 ca.","{'persons': [{'last_name': 'Chierici', 'first_name': 'Gaetano', 'occupations': ['paleontologist'], 'birth': None, 'death': None}], 'organisations': []}"
Libreria musicale Gallini <Milano> : Acquisto : 1998/09,"{'persons': [], 'organisations': [{'name': 'Libreria musicale Gallini', 'place': 'Milano'}]}"
"Venturi, Giovanni Battista <1746-1822 ; eredi> : Acquisto : 1921/05","{'persons': [{'last_name': 'Venturi', 'first_name': 'Giovanni Battista', 'occupations': [], 'birth': '1746', 'death': '1822'}], 'organisations': [{'name': 'eredi', 'place': None}]}"
Libreria antiquaria Gutenberg <Cassano d'Adda> : Acquisto : 2007/03,"{'persons': [], 'organisations': [{'name': 'Libreria antiquaria Gutenberg', 'place': ""Cassano d'Adda""}]}"
"Ghidoni Balletti, Maria : Dono : 1957/06","{'persons': [{'last_name': 'Ghidoni Balletti', 'first_name': 'Maria', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Chierici, Gaetano <1819-1886 ; eredi> : Dono : 1888 ca.","{'persons': [{'last_name': 'Chierici', 'first_name': 'Gaetano', 'occupations': [], 'birth': '1819', 'death': '1886'}], 'organisations': []}"
