original,entities
biblioteca di Anton Maria Salvini; libreria di Gabriello; Libreria del marchese Gabbriello Riccardi; Bibliotheca subdecani Riccardii,"{'persons': [{'last_name': 'Salvini', 'first_name': 'Anton Maria', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Gabriello', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Libreria del', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Riccardi', 'first_name': 'Gabbriello', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Bibliotheca', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Riccardii', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}], 'organisations': [{'name': 'biblioteca Anton Maria Salvini', 'place': None}, {'name': 'libreria Gabriello', 'place': None}, {'name': 'Libreria del marchese Gabbriello Riccardi', 'place': None}]}"
monache di Sancto Pietro martire,"{'persons': [{'last_name': 'Pietro', 'first_name': 'Sancto', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
Soc. Iesu. Florentiae famiglia Riccardi,"{'persons': [{'last_name': 'Soc', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Iesu', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Florentiae', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Riccardi', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Acq. dal libraio antiquario bolognese Angelo Gandolfi, 23 marzo 1927.","{'persons': [{'last_name': 'Acq', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Gandolfi', 'first_name': 'Angelo', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Acq. dal march G. Cavriani Ratta, 15 maggio 1907","{'persons': [{'last_name': 'Cavriani', 'first_name': 'G.', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Acq', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'G', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Ratta', 'first_name': 'Cavriani', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Acquisto, 1927. Ex libris Bibl. Gust. C. Galletti Flor.","{'persons': [{'last_name': 'Galletti', 'first_name': 'C.', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Acquisto', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Ex', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Bibl', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Gust', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'C', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Flor', 'first_name': 'Galletti', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Con la libreria dei Gesuiti, di voll. 15284, che fu definitivamente ceduta al Municipio nel 1869.","{'persons': [{'last_name': 'Con', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Gesuiti', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Municipio', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}], 'organisations': [{'name': 'libreria dei Gesuiti', 'place': None}]}"
"Dono Comm. G. Cavalieri, 1918","{'persons': [{'last_name': 'Cavalieri', 'first_name': 'G.', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Comm', 'first_name': 'Dono', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'G', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Cavalieri', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Dono del cav. Giuseppe Ballarini (già presidente della Società stessa), 1896","{'persons': [{'last_name': 'Dono del', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Ballarini', 'first_name': 'Giuseppe', 'occupations': [], 'birth': None, 'death': None}], 'organisations': [{'name': 'Società stessa)', 'place': None}]}"
Fondo antico (nell'interno del piatto anteriore una nota: « Dono di Mons. D. Pio dalla Casa »). Segn. antica 17. Mss. Sezione ecclesiast. Cart. H 14. Nº. 1.,"{'persons': [{'last_name': 'Pio', 'first_name': 'D.', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Mons', 'first_name': 'Dono di', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'D', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Casa', 'first_name': 'Pio dalla', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Segn', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Mss', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Sezione', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Cart', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'H', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}], 'organisations': [{'name': ""Fondo antico (nell'interno del piatto anteriore una nota"", 'place': None}]}"
"Il ms. reca all'interno del piatto posteriore la seguente nota: «1846 li 4 giugno. Comprato il presente tacuino del cav. Marcantonio Franceschini famoso pittore dal sig. Tognetti segretario giubilato»; poiché questa nota non è autografa di Francesco Tognetti, si deve intendere nel senso che il Tognetti fu il venditore del ms. all'acquirente non identificato che vergò l'appunto. Nel 1930 il ms. fu trovato in vendita alla libreria antiquaria Zanichelli di Bologna da Guido Zucchini che lo segnalò ad Albano Sorbelli il quale lo acquistò per la Biblioteca dell'Archiginnasio.","{'persons': [{'last_name': 'Il', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Comprato', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Franceschini', 'first_name': 'Marcantonio', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Tognetti', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Tognetti', 'first_name': 'Francesco', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Tognetti', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Nel', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Zucchini', 'first_name': 'Zanichelli di Bologna da Guido', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Sorbelli', 'first_name': 'Albano', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Archiginnasio', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Prov. Acq. dalla Libr. Ant. Martelli di Bologna, il 1.o luglio 1905, per £. 5.","{'persons': [{'last_name': 'Prov', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Acq', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Libr', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Ant', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Bologna', 'first_name': 'Martelli di', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Prov. Dono del cav. Tito Manetti, 1907 (nell'interno del piatto anteriore è la nota: 1882. Decembre. Comprato da Ravagnoli, che mi disse averlo avuto nella compera che fece della libreria del defunto Don Pietro Lozzani »).","{'persons': [{'last_name': 'Prov', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Dono del', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Manetti', 'first_name': 'Tito', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Decembre', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Ravagnoli', 'first_name': 'Comprato da', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Lozzani', 'first_name': 'Pietro', 'occupations': ['Don'], 'birth': None, 'death': None}], 'organisations': []}"
"Prov. fondo antico, probabilmente dal convento di S. Domenico.","{'persons': [{'last_name': 'Domenico', 'first_name': 'S.', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Prov', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'S', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Domenico', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}], 'organisations': [{'name': 'fondo antico', 'place': None}]}"
"Prov.: acquisto da Ferdinando Casini, 1918; appartenne allo storico e dantista Tommaso Casini.","{'persons': [{'last_name': 'Prov', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Casini', 'first_name': 'Ferdinando', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Casini', 'first_name': 'Tommaso', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"acquisto dall'arch. Ferdinando Forlai, 1983.","{'persons': [{'last_name': 'Forlai', 'first_name': 'Ferdinando', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"il ms. non reca numero di registro d'ingresso; a c. 1 n.n.v e ac. Ir vi è il timbro ottocentesco «G.N. Pepoli» riferentesi a Gioacchino Napoleone Pepoli (1825-1881). Al v del foglio di guardia anteriore vi è una indicazione del prezzo di vendita (£ 150), il che fa supporre che il ms. sia stato acquistato dalla Biblioteca, forse nel tardo Ottocento.","{'persons': [{'last_name': 'Pepoli', 'first_name': 'G.N.', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Ir', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'G', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'N', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Pepoli', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Pepoli', 'first_name': 'Gioacchino Napoleone', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Al', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Ottocento', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Acq. dall'avv. Raimondo Ambrosini, il 13 giugno 1908.","{'persons': [{'last_name': 'Acq', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Ambrosini', 'first_name': 'Raimondo', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Palestrina, Giovanni Pierluigi : da","{'persons': [{'last_name': 'Palestrina', 'first_name': 'Giovanni Pierluigi', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Palestrina', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Pierluigi', 'first_name': 'Giovanni', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Gonzaga, Ferdinando <duca di Mantova>","{'persons': [{'last_name': 'Gonzaga', 'first_name': 'Ferdinando', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Gonzaga', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Ferdinando', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Mantova', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
SIXTUS IV PAPA,"{'persons': [{'last_name': 'IV', 'first_name': 'SIXTUS', 'occupations': ['PAPA'], 'birth': None, 'death': None}], 'organisations': []}"
"Chierici, Gaetano <1838-1920> <paletnologo>","{'persons': [{'last_name': 'Chierici', 'first_name': 'Gaetano', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Chierici', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Gaetano', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Abati Olivieri Giordani, Annibale : degli <padre>","{'persons': [{'last_name': 'Abati Olivieri Giordani', 'first_name': 'Annibale', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Giordani', 'first_name': 'Abati Olivieri', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Annibale', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Giovan Battista Doni, Gabriello Riccardi, Girolamo da Prato, B.M. Peebles","{'persons': [{'last_name': 'Giovan Battista Doni', 'first_name': 'Gabriello Riccardi', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Peebles', 'first_name': 'B.M.', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Doni', 'first_name': 'Giovan Battista', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Riccardi', 'first_name': 'Gabriello', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Prato', 'first_name': 'Girolamo da', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'B', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'M', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Peebles', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Chierici, Gaetano <paletnologo ; eredi> : Dono : 1888 ca.","{'persons': [{'last_name': 'Chierici', 'first_name': 'Gaetano', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Chierici', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Gaetano', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Dono', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
Libreria musicale Gallini <Milano> : Acquisto : 1998/09,"{'persons': [{'last_name': 'Gallini', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Milano', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Acquisto', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}], 'organisations': [{'name': 'Libreria musicale Gallini', 'place': 'Milano'}]}"
"Venturi, Giovanni Battista <1746-1822 ; eredi> : Acquisto : 1921/05","{'persons': [{'last_name': 'Venturi', 'first_name': 'Giovanni Battista', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Venturi', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Battista', 'first_name': 'Giovanni', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Acquisto', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
Libreria antiquaria Gutenberg <Cassano d'Adda> : Acquisto : 2007/03,"{'persons': [{'last_name': 'Gutenberg', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Cassano', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Adda', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Acquisto', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}], 'organisations': [{'name': 'Libreria antiquaria Gutenberg', 'place': ""Cassano d'Adda""}]}"
"Ghidoni Balletti, Maria : Dono : 1957/06","{'persons': [{'last_name': 'Ghidoni Balletti', 'first_name': 'Maria', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Balletti', 'first_name': 'Ghidoni', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Maria', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Dono', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Chierici, Gaetano <1819-1886 ; eredi> : Dono : 1888 ca.","{'persons': [{'last_name': 'Chierici', 'first_name': 'Gaetano', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Chierici', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Gaetano', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Dono', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
